Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
03/26/2018,9.8,11.8,9.62,11,11,2.97935e+07,0,0,0.02,-0.021, 0.02,0,0, -9.25596e+61,14.3, 0, 0, 11, 301.511, 0, -3316.62,0,0, 0, 0, 0, 301.511, 0, -3316.62, 0
04/02/2018,11.05,11.5,10.55,10.94,10.94,8.3568e+06,-0.00545455,-0.00545455,0.02,-0.02, 0.02,0,-0.00545455, 8.23837,14.3, 0, 0.825683, 10.97, 302.337, 0, -3325.35,-24.9554,-24.9554, 0, -39.7977, -14.8423, 267.834, -14.8423, -2944.99, -14.8877
04/09/2018,11,11.76,10.96,11.4,11.4,9.2234e+06,0.0420475,0.0420475,0.02,-0.02, 0.02,0.0216152,0.02, 8.23837,14.3, 0, -6.16259, 11.0489, 296.174, 0, -3256.93,21.6152,-3.34021, 0, -18.1825, -14.8423, 226.646, 0, -2482.79, 100.979
04/16/2018,11.41,11.5,11.06,11.19,11.19,2.8382e+06,-0.0184211,-0.0184211,0.033589,-0.033589, 0.033589,0,-0.0184211, 6.08321,14.3, 0, 2.7662, 11.2945, 298.941, 0, -3287.22,0,-3.34021, 0, -18.1825, -14.8423, 245.239, 0, -2686.41, 57.8111
04/23/2018,11.29,11.52,10.61,10.61,10.61,4.4594e+06,-0.051832,-0.051832,0.0318356,-0.0318356, 0.0318356,-0.0206539,-0.0318356, 6.31026,14.3, 0, 8.06214, 11.0104, 307.003, 0, -3375.15,0,-3.34021, 0, 2.47143, 5.81164, 298.463, 20.6539, -3260.82, -94.1353
04/30/2018,10.7,11.08,9.86,9.99,9.99,4.0291e+06,-0.0584354,-0.0584354,0.0389032,-0.0389032, 0.0389032,-0.0203228,-0.0389032, 5.46525,14.3, 0, 9.38322, 10.4016, 316.386, 0, -3471.53,-93.6937,-97.0339, 0, -70.8995, 26.1345, 358.675, 20.3228, -3872.94, -289.776
05/07/2018,10.01,12.19,9.86,11.46,11.46,7.4606e+06,0.147147,0.11671,0.0404414,-0.0404414, 0.0404414,0.102558,0.0404414, 5.30392,14.3, 0, -20.9879, 10.19, 295.398, 0, -3256.36,102.558,5.52426, 0, 31.6587, 26.1345, 221.397, 0, -2395.34, 141.865
05/14/2018,11.55,14.87,11.5,12.84,12.84,1.34687e+07,0.120419,0.120419,0.0659675,-0.0659675, 0.0659675,0.0510817,0.0659675, 3.41205,14.3, 0, -16.3253, 11.832, 279.073, 0, -3059.46,51.0817,56.6059, 0, 82.7404, 26.1345, 107.694, 0, -989.692, 393.102
05/21/2018,12.94,15.49,12.3,14.24,14.24,3.22955e+07,0.109034,0.109034,0.0745601,-0.0745601, 0.0745601,0.0320821,0.0745601, 2.99908,14.3, 0, -14.0733, 13.3101, 264.999, 0, -2867.07,32.0821,88.688, 0, 114.822, 26.1345, 4.20463, 0, 447.269, 507.143
05/28/2018,14.3,17.71,14.22,16.91,16.91,2.52146e+07,0.1875,0.1875,0.0757627,-0.0757627, 0.0757627,0.103868,0.0757627, 2.94732,14.3, 0, -21.8193, 14.7696, 243.18, 0, -2539.29,103.868,192.556, 0, 218.69, 26.1345, -167.646, 0, 3158.52, 323.634
06/04/2018,17.4,19.35,15.6,18.95,18.95,2.50983e+07,0.120639,0.120639,0.0878495,-0.0878495, 0.0878495,0.0301413,0.0878495, 2.49392,14.3, 0, -13.462, 17.6371, 229.718, 0, -2293.76,30.1413,222.697, 0, 248.832, 26.1345, -281.544, 0, 5266.5, -68.7712
06/11/2018,19.01,22.7,17.36,19.65,19.65,6.30835e+07,0.0369393,0.0369393,0.0858623,-0.0858623, 0.0858623,0,0.0369393, 2.56095,14.3, 0, -4.12877, 19.2968, 225.589, 0, -2205.99,-45.0546,177.643, 0, 203.777, 26.1345, -317.818, 0, 6037.59, -207.531
06/18/2018,19.35,21.66,15.38,16.65,16.65,5.10317e+07,-0.152672,-0.152672,0.0816634,-0.0816634, 0.0816634,-0.0773228,-0.0816634, 2.71178,14.3, 0, 19.4821, 18.8306, 245.072, 0, -2565.62,-216.643,-39.0005, 0, 64.4568, 103.457, -152.151, 77.3228, 3101.33, 568.021
06/25/2018,15.67,16.53,13.31,13.99,13.99,3.8751e+07,-0.15976,-0.15976,0.0981744,-0.0981744, 0.0981744,-0.0682897,-0.0981744, 2.18462,14.3, 0, 22.2852, 15.8116, 267.357, 0, -2908.4,0,-39.0005, 0, 132.746, 171.747, 21.9167, 68.2897, 518.235, 824.85
07/02/2018,13.24,14.1,12.5,13.3,13.3,2.35369e+07,-0.0493209,-0.0493209,0.108717,-0.108717, 0.108717,0,-0.0493209, 1.9246,14.3, 0, 6.84751, 13.6406, 274.204, 0, -2990.89,0,-39.0005, 0, 132.746, 171.747, 72.4955, 0, -91.0804, 873.11
07/09/2018,13.66,14.69,12.76,13.8,13.8,4.47928e+07,0.037594,0.037594,0.106179,-0.106179, 0.106179,0,0.037594, 1.98277,14.3, 0, -5.0133, 13.5477, 269.191, 0, -2912.6,0,-39.0005, 0, 132.746, 171.747, 35.5909, 0, 485.26, 976.415
07/16/2018,13.72,15.08,13.1,14.41,14.41,4.28334e+07,0.0442029,0.0442029,0.102455,-0.102455, 0.102455,0,0.0442029, 2.07302,14.3, 0, -5.75927, 14.1017, 263.432, 0, -2821.53,0,-39.0005, 0, 132.746, 171.747, -7.66287, 0, 1169.23, 1058.8
07/23/2018,14.41,14.77,12,12.13,12.13,3.39298e+07,-0.158223,-0.158223,0.0991924,-0.0991924, 0.0991924,-0.0655312,-0.0991924, 2.15728,14.3, 0, 23.6924, 13.6767, 287.124, 0, -3136.46,0,-39.0005, 0, 198.278, 237.278, 164.578, 65.5312, -1042.92, 953.412
07/30/2018,11.3,12.25,10.7,11.06,11.06,2.31018e+07,-0.088211,-0.088211,0.105317,-0.105317, 0.105317,0,-0.088211, 2.00314,14.3, 0, 13.5683, 11.5827, 300.692, 0, -3284.18,0,-39.0005, 0, 179.159, 218.159, 256.925, -19.1191, -2048.3, 793.284
08/06/2018,11.12,11.74,11.02,11.14,11.14,1.25498e+07,0.00723327,0.00723327,0.104734,-0.104734, 0.104734,0,0.00723327, 2.01708,14.3, 0, -1.08163, 11.0999, 299.611, 0, -3263.04,0,-39.0005, 0, 179.159, 218.159, 249.717, 0, -1907.42, 874.427
08/13/2018,11.19,11.27,9.09,10.7,10.7,2.69816e+07,-0.0394973,-0.0394973,0.101786,-0.101786, 0.101786,0,-0.0394973, 2.08991,14.3, 0, 6.09816, 10.9178, 305.709, 0, -3321.06,0,-39.0005, 0, 109.812, 148.812, 290.016, -69.347, -2290.84, 812.331
08/20/2018,11.25,12.43,10.41,10.91,10.91,2.38969e+07,0.0196262,0.0196262,0.0995519,-0.0995519, 0.0995519,0,0.0196262, 2.14775,14.3, 0, -2.9565, 10.8045, 302.752, 0, -3280.97,-72.6894,-111.69, 0, 37.1223, 148.812, 270.58, 0, -2027.3, 924.723
08/27/2018,11.45,14.23,10.96,12.83,12.83,5.09286e+07,0.175985,0.175985,0.0971072,-0.0971072, 0.0971072,0.0718965,0.0971072, 2.21384,14.3, 0, -23.5709, 11.4274, 279.182, 0, -3003.65,71.8965,-39.7934, 0, 109.019, 148.812, 108.473, 0, -53.6197, 1338.09
09/03/2018,12.75,12.86,11,11.71,11.71,1.44686e+07,-0.0872954,-0.0872954,0.101701,-0.101701, 0.101701,0,-0.0872954, 2.09206,14.3, 0, 13.0463, 12.2572, 292.228, 0, -3154.51,0,-39.7934, 0, 92.9822, 132.776, 199.816, -16.0366, -1109.84, 1230.01
09/10/2018,11.73,14.12,11.11,13.52,13.52,2.5786e+07,0.154569,0.154569,0.101443,-0.101443, 0.101443,0.0482325,0.101443, 2.09862,14.3, 0, -20.2637, 12.2896, 271.964, 0, -2896.46,48.2325,8.43915, 0, 141.215, 132.776, 56.0895, 0, 763.343, 1521.67
09/17/2018,13.29,14.07,12.36,12.43,12.43,1.73222e+07,-0.0806213,-0.0806213,0.103717,-0.103717, 0.103717,0,-0.0806213, 2.04177,14.3, 0, 11.6739, 12.9635, 283.638, 0, -3038.11,0,8.43915, 0, 141.215, 132.776, 140.147, 0, -256.61, 1485.41
09/24/2018,11.7,13.69,11.28,13.48,13.48,2.06019e+07,0.084473,0.084473,0.103232,-0.103232, 0.103232,0,0.084473, 2.05369,14.3, 0, -11.2707, 12.9444, 272.367, 0, -2882.63,0,8.43915, 0, 141.215, 132.776, 59.0524, 0, 862.076, 1658.1
10/01/2018,13.7,15.5,12.84,13.35,13.35,3.68358e+07,-0.00964392,-0.00964392,0.102226,-0.102226, 0.102226,0,-0.00964392, 2.07878,14.3, 0, 1.32292, 13.4148, 273.69, 0, -2890.81,-101.495,-93.0557, 0, 39.7198, 132.776, 68.7432, 0, 802.17, 1719.89
10/08/2018,12.72,13.85,12.02,13.71,13.71,1.71757e+07,0.0269663,0.0269663,0.100326,-0.100326, 0.100326,0,0.0269663, 2.12743,14.3, 0, -3.61721, 13.5288, 270.073, 0, -2832.62,0,-93.0557, 0, 39.7198, 132.776, 42.134, 0, 1230.25, 1807.9
10/15/2018,13.28,14.29,12.37,12.49,12.49,1.44215e+07,-0.0889861,-0.0889861,0.098497,-0.098497, 0.098497,0,-0.0889861, 2.1759,14.3, 0, 12.8829, 13.0858, 282.956, 0, -2992.42,0,-93.0557, 0, 39.7198, 132.776, 135.331, 0, 74.1642, 1764.45
10/22/2018,13,13.26,11.87,13.17,13.17,1.42607e+07,0.0544436,0.0544436,0.0985088,-0.0985088, 0.0985088,0,0.0544436, 2.17558,14.3, 0, -7.40167, 12.8255, 275.554, 0, -2888.81,0,-93.0557, 0, 39.7198, 132.776, 82.318, 0, 816.314, 1900.44
10/29/2018,13.45,15.18,12.258,14.43,14.43,3.12808e+07,0.095672,0.095672,0.0971642,-0.0971642, 0.0971642,0,0.095672, 2.21226,14.3, 0, -12.3052, 13.7856, 263.249, 0, -2710.41,-1.3601,-94.4158, 0, 38.3597, 132.776, -9.04984, 0, 2140.95, 2010.36
11/05/2018,14.4,15.48,13.32,13.4,13.4,1.30363e+07,-0.0713791,-0.0713791,0.0983683,-0.0983683, 0.0983683,0,-0.0713791, 2.17937,14.3, 0, 9.93012, 13.9055, 273.179, 0, -2839.47,0,-94.4158, 0, 38.3597, 132.776, 65.0048, 0, 1178.46, 2049.53
11/12/2018,13.51,14.94,12.78,14.5,14.5,1.43751e+07,0.0820896,0.0820896,0.0993893,-0.0993893, 0.0993893,0,0.0820896, 2.15205,14.3, 0, -10.5663, 13.9392, 262.613, 0, -2682.97,-15.7358,-110.152, 0, 22.6239, 132.776, -13.8891, 0, 2347.02, 2145.63
11/19/2018,14.4,16.13,12.85,14.98,14.98,3.31459e+07,0.0331034,0.0331034,0.100116,-0.100116, 0.100116,0,0.0331034, 2.13293,14.3, 0, -4.24167, 14.738, 258.371, 0, -2610.83,-60.9137,-171.065, 0, -186.33, -15.2646, -46.4564, -148.04, 2900.86, 2204.95
11/26/2018,15.15,16.17,14.5,15.61,15.61,2.36955e+07,0.0420561,0.0420561,0.099429,-0.099429, 0.099429,0,0.0420561, 2.151,14.3, 0, -5.26746, 15.2918, 253.104, 0, -2520.62,0,-171.065, 0, -186.33, -15.2646, -87.6522, 0, 3606.41, 2238.16
12/03/2018,16.29,16.74,13.9,14.69,14.69,1.87107e+07,-0.0589366,-0.0589366,0.0985433,-0.0985433, 0.0985433,0,-0.0589366, 2.17465,14.3, 0, 7.80529, 15.143, 260.909, 0, -2629.37,0,-171.065, 0, -230.266, -59.2009, -26.9075, -43.9363, 2760.07, 2364.8
12/10/2018,14.59,15.64,14.3,15.22,15.22,1.53534e+07,0.036079,0.036079,0.0977394,-0.0977394, 0.0977394,0,0.036079, 2.19646,14.3, 0, -4.58302, 14.9527, 256.326, 0, -2551.6,0,-171.065, 0, -230.266, -59.2009, -62.3508, 0, 3361.47, 2412.49
12/17/2018,14.93,15.5,13.16,13.3,13.3,3.07895e+07,-0.12615,-0.12615,0.0957335,-0.0957335, 0.0957335,-0.0336365,-0.0957335, 2.25232,14.3, 0, 17.8782, 14.4731, 274.204, 0, -2801.64,0,-171.065, 0, -196.63, -25.5644, 72.4955, 33.6365, 1508.12, 2472.31
12/24/2018,13.04,14.42,12.66,14.37,14.37,1.309e+07,0.0804511,0.0804511,0.0969758,-0.0969758, 0.0969758,0,0.0804511, 2.21748,14.3, 0, -10.4062, 13.8247, 263.798, 0, -2649.04,0,-171.065, 0, -196.63, -25.5644, -4.88316, 0, 2642.86, 2572.69
12/31/2018,14.57,15,12.85,13.7,13.7,1.28272e+07,-0.0466249,-0.0466249,0.0917544,-0.0917544, 0.0917544,0,-0.0466249, 2.36964,14.3, 0, 6.37354, 14.031, 270.172, 0, -2730.58,0,-171.065, 0, -246.318, -75.2531, 42.8637, -49.6887, 2031.98, 2619.22
01/07/2019,13.94,16.6,13.74,15.36,15.36,2.51311e+07,0.121168,0.121168,0.0891347,-0.0891347, 0.0891347,0.0294116,0.0891347, 2.45196,14.3, 0, -15.0164, 14.2975, 255.155, 0, -2508.37,29.4116,-141.654, 0, -216.907, -75.2531, -71.5072, 0, 3748.71, 2650.35
01/14/2019,15.2,17.09,14.71,16.71,16.71,1.73775e+07,0.0878906,0.0878906,0.0918472,-0.0918472, 0.0918472,0,0.0878906, 2.3668,14.3, 0, -10.524, 16.0208, 244.631, 0, -2331.33,-3.62382,-145.278, 0, -220.531, -75.2531, -155.748, 0, 5165.88, 2563.34
01/21/2019,16.16,17.5,15.75,17.44,17.44,1.57163e+07,0.0436865,0.0436865,0.0888778,-0.0888778, 0.0888778,0,0.0436865, 2.46026,14.3, 0, -5.1746, 17.0711, 239.457, 0, -2234.83,0,-145.278, 0, -220.531, -75.2531, -198.507, 0, 5963.25, 2501.29
01/28/2019,17.14,18.61,16.8,17.83,17.83,2.1431e+07,0.0223623,0.0223623,0.0835569,-0.0835569, 0.0835569,0,0.0223623, 2.64215,14.3, 0, -2.63332, 17.6339, 236.823, 0, -2181.07,0,-145.278, 0, -220.531, -75.2531, -220.623, 0, 6414.8, 2481.09
02/04/2019,17.89,18.48,16.43,17.46,17.46,1.30947e+07,-0.0207516,-0.0207516,0.0828015,-0.0828015, 0.0828015,0,-0.0207516, 2.6696,14.3, 0, 2.49615, 17.644, 239.319, 0, -2217.91,0,-145.278, 0, -220.531, -75.2531, -199.653, 0, 6105.29, 2619.35
02/11/2019,17.825,19.2,17.15,17.74,17.74,2.22089e+07,0.0160367,0.0160367,0.0828924,-0.0828924, 0.0828924,0,0.0160367, 2.66628,14.3, 0, -1.89617, 17.5994, 237.423, 0, -2177.33,-61.7381,-207.016, 0, -282.269, -75.2531, -215.562, 0, 6445.75, 2621.67
02/18/2019,17.81,19.55,17.77,19.48,19.48,1.92058e+07,0.0980834,0.0980834,0.0826648,-0.0826648, 0.0826648,0.0142414,0.0826648, 2.67462,14.3, 0, -10.8516, 18.4587, 226.572, 0, -1969.69,14.2414,-192.774, 0, -268.027, -75.2531, -309.129, 0, 8248.63, 2226.81
02/25/2019,20.5,21.5,17.92,17.98,17.98,4.64484e+07,-0.0770021,-0.0770021,0.0777509,-0.0777509, 0.0777509,0,-0.0770021, 2.86464,14.3, 0, 9.26169, 18.715, 235.833, 0, -2136.48,-143.589,-336.363, 0, -412.428, -76.0651, -229, -0.812012, 6805.6, 2688.17
03/04/2019,17.63,19.32,17.15,17.94,17.94,2.66088e+07,-0.00222464,-0.00222464,0.0772443,-0.0772443, 0.0772443,0,-0.00222464, 2.88537,14.3, 0, 0.26276, 17.96, 236.096, 0, -2134.88,0,-336.363, 0, -412.428, -76.0651, -226.773, 0, 6819.18, 2750.87
03/11/2019,18.12,19.26,17.97,18.71,18.71,1.55878e+07,0.0429207,0.0429207,0.0773139,-0.0773139, 0.0773139,0,0.0429207, 2.88251,14.3, 0, -4.90923, 18.321, 231.187, 0, -2038.54,0,-336.363, 0, -412.428, -76.0651, -268.799, 0, 7643.88, 2614.66
03/18/2019,18.91,19,17.2,17.21,17.21,1.9962e+07,-0.080171,-0.080171,0.0766303,-0.0766303, 0.0766303,-0.00383463,-0.0766303, 2.91081,14.3, 0, 9.86451, 17.9788, 241.051, 0, -2209.67,0,-336.363, 0, -408.594, -72.2305, -185.231, 3.83463, 6197.01, 3009.18
03/25/2019,17.11,18.97,17.05,18.95,18.95,2.00841e+07,0.101104,0.101104,0.0788529,-0.0788529, 0.0788529,0.0206249,0.0788529, 2.8203,14.3, 0, -11.3332, 17.8757, 229.718, 0, -2000.51,20.6249,-315.738, 0, -387.969, -72.2305, -281.544, 0, 7992.48, 2657.21
04/01/2019,19.24,19.3,16.921,18.02,18.02,5.62651e+07,-0.0490766,-0.0490766,0.0747678,-0.0747678, 0.0747678,0,-0.0490766, 2.99004,14.3, 0, 5.85324, 18.4792, 235.571, 0, -2102.66,0,-315.738, 0, -415.736, -99.9979, -231.223, -27.7674, 7114.23, 2947.59
04/08/2019,17.94,18.52,17.38,18.32,18.32,2.14998e+07,0.0166482,0.0166482,0.0732614,-0.0732614, 0.0732614,0,0.0166482, 3.05652,14.3, 0, -1.93677, 18.1694, 233.635, 0, -2061.75,0,-315.738, 0, -415.736, -99.9979, -247.734, 0, 7462.98, 2924.5
04/15/2019,18.08,18.15,16.71,17.45,17.45,2.20972e+07,-0.047489,-0.047489,0.0685076,-0.0685076, 0.0685076,0,-0.047489, 3.2815,14.3, 0, 5.75329, 17.8797, 239.388, 0, -2159.66,0,-315.738, 0, -438.3, -122.562, -199.08, -22.5644, 6635.03, 3161.08
04/22/2019,17,17.99,17,17.78,17.78,1.45656e+07,0.0189112,0.0189112,0.0672101,-0.0672101, 0.0672101,0,0.0189112, 3.34723,14.3, 0, -2.23195, 17.6142, 237.156, 0, -2115.61,0,-315.738, 0, -438.3, -122.562, -217.815, 0, 7004.81, 3132.06
04/29/2019,17.72,18.31,17.413,18.19,18.19,1.45149e+07,0.0230596,0.0230596,0.0658775,-0.0658775, 0.0658775,0,0.0230596, 3.41681,14.3, 0, -2.68796, 17.9838, 234.468, 0, -2062.66,0,-315.738, 0, -438.3, -122.562, -240.613, 0, 7453.82, 3077.08
05/06/2019,17.35,17.6,16.19,17.1,17.1,2.15309e+07,-0.0599231,-0.0599231,0.0657882,-0.0657882, 0.0657882,0,-0.0599231, 3.42155,14.3, 0, 7.35738, 17.6366, 241.825, 0, -2187.88,0,-315.738, 0, -444.579, -128.84, -178.819, -6.27818, 6402.16, 3344.36
05/13/2019,16.51,16.7,14.82,15.35,15.35,3.38207e+07,-0.102339,-0.102339,0.0670287,-0.0670287, 0.0670287,-0.0378473,-0.0670287, 3.35658,14.3, 0, 13.4129, 16.517, 255.238, 0, -2404.85,0,-315.738, 0, -406.731, -90.9931, -70.8559, 37.8473, 4689.4, 3601.77
05/20/2019,15,15.1,13.83,14.05,14.05,1.95379e+07,-0.0846906,-0.0846906,0.0677462,-0.0677462, 0.0677462,-0.0181756,-0.0677462, 3.31983,14.3, 0, 11.547, 14.8209, 266.785, 0, -2571.57,0,-315.738, 0, -388.556, -72.8175, 17.6371, 18.1756, 3423.53, 3671.33
05/27/2019,14.37,14.63,13.3,13.5,13.5,1.13744e+07,-0.0391459,-0.0391459,0.0692818,-0.0692818, 0.0692818,0,-0.0391459, 3.24321,14.3, 0, 5.38026, 13.7723, 272.166, 0, -2641.22,0,-315.738, 0, -388.556, -72.8175, 57.5699, 0, 2906.62, 3683.81
06/03/2019,13.51,15.1,13.23,14.8,14.8,2.46821e+07,0.0962963,0.0962963,0.0675129,-0.0675129, 0.0675129,0.026963,0.0675129, 3.33172,14.3, 0, -12.2279, 13.9483, 259.938, 0, -2466.41,26.963,-288.775, 0, -361.593, -72.8175, -34.3676, 0, 4238.37, 3729.73
06/10/2019,14.91,15.629,14.01,14.27,14.27,1.60377e+07,-0.0358108,-0.0358108,0.0683362,-0.0683362, 0.0683362,0,-0.0358108, 3.29007,14.3, 0, 4.78315, 14.5326, 264.721, 0, -2531.47,0,-288.775, 0, -361.593, -72.8175, 2.10011, 0, 3742.34, 3772.3
06/17/2019,14.2,15.93,14.19,15.44,15.44,1.26954e+07,0.0819902,0.0819902,0.0671647,-0.0671647, 0.0671647,0.0138924,0.0671647, 3.34957,14.3, 0, -10.2275, 14.7414, 254.493, 0, -2376.37,13.8924,-274.883, 0, -347.7, -72.8175, -76.702, 0, 4945.51, 3761.23
06/24/2019,15.44,16.28,15.28,16.27,16.27,1.30218e+07,0.0537565,0.0537565,0.0685332,-0.0685332, 0.0685332,0,0.0537565, 3.28023,14.3, 0, -6.57635, 15.8496, 247.917, 0, -2267.46,0,-274.883, 0, -347.7, -72.8175, -129.063, 0, 5812.64, 3712.78
07/01/2019,16.55,16.82,16.25,16.74,16.74,9.6734e+06,0.0288875,0.0288875,0.0687943,-0.0687943, 0.0687943,0,0.0288875, 3.26724,14.3, 0, -3.50509, 16.5033, 244.412, 0, -2204.81,0,-274.883, 0, -347.7, -72.8175, -157.542, 0, 6321.68, 3684.43
07/08/2019,16.5,16.83,16.183,16.4,16.4,7.0254e+06,-0.0203106,-0.0203106,0.0679011,-0.0679011, 0.0679011,0,-0.0203106, 3.31198,14.3, 0, 2.52054, 16.5691, 246.932, 0, -2241.88,0,-274.883, 0, -347.7, -72.8175, -137.022, 0, 6019.88, 3772.72
07/15/2019,16.58,16.66,15.06,15.54,15.54,9.6654e+06,-0.052439,-0.052439,0.0678373,-0.0678373, 0.0678373,0,-0.052439, 3.31521,14.3, 0, 6.74075, 15.9642, 253.673, 0, -2344.89,0,-274.883, 0, -364.219, -89.3364, -83.1578, -16.5189, 5196.72, 3904.44
07/22/2019,15.78,16.24,15.41,15.96,15.96,1.26343e+07,0.027027,0.027027,0.0641696,-0.0641696, 0.0641696,0,0.027027, 3.50921,14.3, 0, -3.36006, 15.7486, 250.313, 0, -2287.89,0,-274.883, 0, -364.219, -89.3364, -109.826, 0, 5649.13, 3896.3
07/29/2019,16,16.15,14.21,14.72,14.72,1.20206e+07,-0.0776942,-0.0776942,0.0627925,-0.0627925, 0.0627925,-0.0159001,-0.0627925, 3.58647,14.3, 0, 10.3299, 15.4508, 260.643, 0, -2443.62,0,-274.883, 0, -348.319, -73.4362, -28.9476, 15.9001, 4439.68, 4013.57
08/05/2019,14.2,14.54,13.61,13.91,13.91,2.09386e+07,-0.0550272,-0.0550272,0.063926,-0.063926, 0.063926,0,-0.0550272, 3.52269,14.3, 0, 7.48144, 14.3093, 268.124, 0, -2546.81,0,-274.883, 0, -357.826, -82.9428, 27.6515, -9.50658, 3659.03, 4043.66
08/12/2019,13.75,14.78,13.55,14.52,14.52,1.14896e+07,0.0438533,0.0438533,0.0608438,-0.0608438, 0.0608438,0,0.0438533, 3.70023,14.3, 0, -5.69252, 14.2117, 262.432, 0, -2462.42,-16.016,-290.899, 0, -373.842, -82.9428, -15.2675, 0, 4295.29, 4073.6
